video_id,duration,rating,reason,error
8uLzRDExhBk_11_0to106,4.42,3,"Both frames show the same futuristic helmet on the same white table in the same classroom/workshop setting, with the same blurred background and people, depicting continuous observation of the helmet from slightly different camera angles.",
z7zRFdFH-ys_26_0to114,3.10,3,"Both frames show the same mystical cosmic clock scene with identical Roman numeral rings, starfield background, and concentric circles, with only minor camera perspective shifts consistent with continuous animation.",
ZNJpKn0LVh8_6_0to122,4.07,3,"Both frames show the same alarm clock on the same wooden surface with the same blurred person in the background, with only the time displayed on the clock changing from 8:00 to 9:00, depicting a continuous passage of time in the same scene.",
i2ie35t4MQE_2_0to114,4.56,3,"Both frames show the same person in the same white shirt at the same microphone in the same studio setting, depicting continuous action with only a subtle change in head position and gaze direction.",
Kzx3JGB0QPU_32_0to122,4.07,3,"Both frames show the same person in the same indoor location with consistent lighting and background, with only natural changes in facial expression and eye position between the beginning and end of the clip.",
zMQI7yA9W-4_0_366to468,2.70,3,"Both frames show the same person in the same indoor setting with consistent lighting and background, depicting a natural head turn/rotation from front-facing to profile view.",
VWntGCy49TY_33_17to128,3.60,3,"Both frames show the same two people in the same forest setting sitting on a log, with the second frame depicting a natural progression of their interaction as a second person joins or becomes visible in the scene.",
TbO5R3dS-6A_6_0to136,5.44,3,"Both frames show the same person in the same yellow and brown outfit against the same gray background, with only a change in facial expression and head position consistent with continuous speech during a BBC Blue Planet Live interview.",
2nepnsSFWcs_84_75to183,2.90,3,"Both frames show the same person in identical pose wearing the same black and yellow polo shirt against a neutral gray background, representing a continuous headshot session with minimal to no movement.",
uO7fVvmaSVI_23_0to125,3.47,1,"The two frames show different people in different settings - the first shows a young person in dark clothing with a cap indoors, while the second shows a different adult man wearing a baseball cap and patterned shirt in a different location, indicating different scenes.",
P5f05yqIr9E_75_23to127,3.32,3,Both frames show the same character (pink-headed figure in blue and yellow outfit) in the same location with continuous camera movement showing different angles of the same scene.,
KJ3aaGDE67M_65_22to158,4.79,3,"Both frames show the same overhead view of an identical food preparation scene with the same ingredients, bowls, cutting board, and hands in slightly different positions during continuous cooking activity.",
YUJF-L7yOkc_12_124to242,3.88,3,"Both frames show the same two people in the same indoor location having a continuous conversation, with natural camera movement and positioning changes consistent with a single video clip.",
QUw2-P8y8CY_69_28to136,3.63,3,"Both frames show the same person in the same kitchen setting wearing identical clothing, with the only change being a slight shift in hand position and head angle consistent with continuous video footage.",
uf7ZImHRb3Q_31_369to506,3.87,3,"Both frames show the same miniature unicorn cupcake being decorated with frosting piping in the same hand, demonstrating continuous action in one location.",
ZoH4rRAKwno_6_363to473,3.71,3,"Both frames show the same man in the same guitar shop setting holding the same sunburst acoustic guitar, with only his gesture and mouth position changing, indicating continuous video footage of a product demonstration or discussion.",
-H8k-D7kYPw_243_0to108,4.32,3,"Both frames show the same two men in identical dark clothing sitting in the same interior location with large windows in the background, depicting continuous action with only minor camera/head position changes between frames.",
VzAxVNRPOME_14_49to176,4.24,3,"Both frames show the same person sitting on the same cream-colored couch in the same room with identical background elements (shelving, lamp, framed artwork), with only a yellow 'SUBSCRIBE' overlay added in the second frame, indicating continuous scene with a graphical addition.",
QCJin8ONvtU_18_20to156,4.80,3,"Both frames show the same person in the same kitchen setting holding the same plate with food, depicting continuous action of presenting or discussing the dish.",
FYrDfiMPa2E_19_17to160,4.07,3,"Both frames show the same four people sitting on the same couch in the same room with identical background elements (sailboat model, shelving, GameSpot watermark), representing continuous action during an interview or discussion segment.",
813HLjJdtj8_27_45to194,4.27,3,"Both frames show the same person at the same event with identical pink background, black decorative elements, and camera angle, depicting continuous video of the same moment.",
nBnip0Vjn5s_163_0to128,4.46,3,"Both frames show the same woman in a red top in the same interior setting, depicting continuous dialogue or interaction with minimal camera movement between frames.",
biJ2kmZyCQs_39_285to427,5.05,3,"Both frames show the same child in the same classroom setting with the same cake on the plate, depicting continuous action as the child gestures while speaking.",
DqA3sdTWOSE_6_25to139,3.10,3,"Both frames show the same performer in the same cowboy hat and black shirt at the same microphone on the SNL stage, with only slight head position changes indicating natural movement during a continuous performance.",
qNnFmeQttW8_345_195to298,2.74,3,"Both frames show the same multi-shelf oven with white round baked goods on parchment paper, with only a slight change in camera angle and hand position indicating continuous action during a baking process.",
vP6uoAwo-ig_22_45to150,3.50,3,"Both frames show the same woman in the same red jacket and dark pants against a white background in the same standing pose, indicating continuous footage from a single scene.",
THhv6PUqjK0_38_66to168,2.70,3,"Both frames show the same restaurant/kitchen scene with the same characters in the same positions, depicting continuous action as the man in pink gestures while holding money during a business meeting.",
3JWKslGOZis_10_63to170,3.59,3,"Both frames show the same person in the same location wearing the same outfit, with only minor changes in head position and eye gaze, consistent with continuous video footage.",
yC7B6g9lyYw_36_24to134,3.71,3,"Both frames show the same person in the same location with identical background decorations, clothing, and setting, depicting continuous action with only slight head/body position changes.",
hgwqU83ETyg_29_0to109,3.64,3,"Both frames show the same person in the same kitchen setting with continuous hand gestures during speech, indicating a single continuous video clip with natural camera movement.",
