video_id,n_questions,n_matched,n_unknown,accuracy,error
8uLzRDExhBk_11_0to106,3,1,0,0.333,
z7zRFdFH-ys_26_0to114,3,3,0,1.000,
ZNJpKn0LVh8_6_0to122,3,1,0,0.333,
i2ie35t4MQE_2_0to114,3,3,0,1.000,
Kzx3JGB0QPU_32_0to122,3,1,0,0.333,
zMQI7yA9W-4_0_366to468,3,2,0,0.667,
VWntGCy49TY_33_17to128,3,3,0,1.000,
TbO5R3dS-6A_6_0to136,3,1,0,0.333,
2nepnsSFWcs_84_75to183,3,1,0,0.333,
uO7fVvmaSVI_23_0to125,3,2,0,0.667,
P5f05yqIr9E_75_23to127,3,3,0,1.000,
KJ3aaGDE67M_65_22to158,3,1,0,0.333,
YUJF-L7yOkc_12_124to242,3,2,1,0.667,
QUw2-P8y8CY_69_28to136,3,2,0,0.667,
uf7ZImHRb3Q_31_369to506,3,2,0,0.667,
ZoH4rRAKwno_6_363to473,3,3,0,1.000,
-H8k-D7kYPw_243_0to108,3,2,0,0.667,
VzAxVNRPOME_14_49to176,3,3,0,1.000,
QCJin8ONvtU_18_20to156,3,3,0,1.000,
FYrDfiMPa2E_19_17to160,3,3,0,1.000,
